Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Gl-30_S10.R1	(1.0, 27.231565329883573)	(2.0, 6.85640362225097)	(3.0, 4.657179818887451)	(4.0, 2.58732212160414)	(5.0, 1.29366106080207)	(6.0, 1.1642949547218628)	(7.0, 1.8111254851228977)	(8.0, 2.069857697283312)	(9.0, 0.5821474773609314)	('>10', 7.503234152652006)	('>50', 0.0)	('>100', 44.24320827943079)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-30_S10.R2	(1.0, 30.983182406209576)	(2.0, 5.692108667529108)	(3.0, 3.8809831824062093)	(4.0, 3.363518758085381)	(5.0, 2.910737386804657)	(6.0, 2.3285899094437257)	(7.0, 1.8111254851228977)	(8.0, 1.034928848641656)	(9.0, 0.0)	('>10', 4.657179818887451)	('>50', 0.0)	('>100', 43.33764553686934)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-31_S11.R1	(1.0, 8.342063907805134)	(2.0, 3.0120481927710845)	(3.0, 1.650078575170246)	(4.0, 0.7857517024620221)	(5.0, 1.1131482451545311)	(6.0, 0.39287585123101104)	(7.0, 0.825039287585123)	(8.0, 0.7333682556312205)	(9.0, 0.5893137768465165)	('>10', 12.729177579884757)	('>50', 6.82294394971189)	('>100', 46.699842849659504)	('>500', 16.304347826086957)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-31_S11.R2	(1.0, 14.588789942378208)	(2.0, 3.9811419591409116)	(3.0, 2.003666841278156)	(4.0, 1.466736511262441)	(5.0, 1.1131482451545311)	(6.0, 0.6286013619696176)	(7.0, 0.2750130958617077)	(8.0, 0.6286013619696176)	(9.0, 0.11786275536930331)	('>10', 10.33263488737559)	('>50', 9.193294918805657)	('>100', 48.87375589313777)	('>500', 6.796752226296491)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-32_S12.R1	(1.0, 13.601741022850925)	(2.0, 3.4095030830612987)	(3.0, 2.8291621327529923)	(4.0, 2.466449038810301)	(5.0, 2.176278563656148)	(6.0, 0.6528835690968444)	(7.0, 1.0155966630395359)	(8.0, 0.0)	(9.0, 0.3264417845484222)	('>10', 16.32208922742111)	('>50', 8.523757707653248)	('>100', 48.67609720710917)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-32_S12.R2	(1.0, 21.218715995647443)	(2.0, 4.425099746100834)	(3.0, 2.50272034820457)	(4.0, 1.595937613347842)	(5.0, 0.9067827348567283)	(6.0, 0.4352557127312296)	(7.0, 0.5077983315197679)	(8.0, 0.8705114254624592)	(9.0, 1.3057671381936888)	('>10', 11.244105912223432)	('>50', 13.746826260428001)	('>100', 41.240478781284004)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-33_S13.R1	(1.0, 23.238482384823847)	(2.0, 4.471544715447155)	(3.0, 2.4390243902439024)	(4.0, 2.4390243902439024)	(5.0, 1.3550135501355014)	(6.0, 1.6260162601626018)	(7.0, 0.9485094850948509)	(8.0, 1.084010840108401)	(9.0, 0.6097560975609756)	('>10', 10.29810298102981)	('>50', 0.0)	('>100', 51.490514905149055)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-33_S13.R2	(1.0, 26.287262872628723)	(2.0, 4.607046070460704)	(3.0, 1.4227642276422763)	(4.0, 1.084010840108401)	(5.0, 2.3712737127371275)	(6.0, 1.6260162601626018)	(7.0, 0.47425474254742545)	(8.0, 0.0)	(9.0, 0.0)	('>10', 8.807588075880759)	('>50', 0.0)	('>100', 53.31978319783198)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-34_S14.R1	(1.0, 16.68795232013623)	(2.0, 3.2354193273733505)	(3.0, 1.6602809706257982)	(4.0, 1.362281822051937)	(5.0, 0.6385696040868455)	(6.0, 0.2554278416347382)	(7.0, 0.29799914857386123)	(8.0, 1.0217113665389528)	(9.0, 0.7662835249042145)	('>10', 12.558535547041295)	('>50', 6.811409110259685)	('>100', 31.928480204342275)	('>500', 22.77564921243082)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-34_S14.R2	(1.0, 17.581949765857814)	(2.0, 3.5759897828863343)	(3.0, 1.7879948914431671)	(4.0, 0.8514261387824607)	(5.0, 0.4257130693912303)	(6.0, 1.0217113665389528)	(7.0, 1.191996594295445)	(8.0, 0.6811409110259685)	(9.0, 0.7662835249042145)	('>10', 10.046828437633035)	('>50', 4.044274159216688)	('>100', 33.88676032354193)	('>500', 24.137931034482758)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-36_S15.R1	(1.0, 16.474464579901152)	(2.0, 3.844041735310269)	(3.0, 2.471169686985173)	(4.0, 2.6359143327841847)	(5.0, 1.6474464579901154)	(6.0, 1.3179571663920924)	(7.0, 1.1532125205930808)	(8.0, 0.8786381109280615)	(9.0, 0.4942339373970346)	('>10', 11.641954969796815)	('>50', 14.991762767710048)	('>100', 42.44920373421197)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-36_S15.R2	(1.0, 17.57276221856123)	(2.0, 4.2833607907743)	(3.0, 2.14168039538715)	(4.0, 2.416254805052169)	(5.0, 1.098297638660077)	(6.0, 0.9884678747940692)	(7.0, 2.3064250411861615)	(8.0, 0.0)	(9.0, 0.9884678747940692)	('>10', 10.323997803404723)	('>50', 14.442613948380012)	('>100', 43.43767160900604)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-38_S16.R1	(1.0, 8.711600183402108)	(2.0, 2.353660400427938)	(3.0, 1.5130674002751032)	(4.0, 0.9170105456212746)	(5.0, 0.6877579092159559)	(6.0, 0.6419073819348923)	(7.0, 0.7488919455907076)	(8.0, 0.36680421824850984)	(9.0, 0.6877579092159559)	('>10', 13.327219929695858)	('>50', 9.246523001681187)	('>100', 44.230475317132814)	('>500', 16.567323857557696)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-38_S16.R2	(1.0, 12.792297111416781)	(2.0, 2.9650007641754548)	(3.0, 1.7881705639614855)	(4.0, 0.7336084364970197)	(5.0, 0.9170105456212746)	(6.0, 0.4585052728106373)	(7.0, 0.9628610729023385)	(8.0, 1.2226807274950329)	(9.0, 0.41265474552957354)	('>10', 11.951704111263945)	('>50', 6.526058383004737)	('>100', 49.457435427174076)	('>500', 9.81201283814764)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-39_S17.R1	(1.0, 30.32069970845481)	(2.0, 4.373177842565598)	(3.0, 3.9358600583090384)	(4.0, 2.3323615160349855)	(5.0, 0.0)	(6.0, 2.623906705539359)	(7.0, 2.0408163265306123)	(8.0, 0.0)	(9.0, 0.0)	('>10', 5.685131195335277)	('>50', 0.0)	('>100', 48.68804664723032)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-39_S17.R2	(1.0, 31.924198250728864)	(2.0, 4.956268221574344)	(3.0, 2.623906705539359)	(4.0, 1.749271137026239)	(5.0, 0.7288629737609329)	(6.0, 0.8746355685131195)	(7.0, 1.0204081632653061)	(8.0, 0.0)	(9.0, 1.3119533527696794)	('>10', 4.518950437317784)	('>50', 0.0)	('>100', 50.29154518950437)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
